bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction
RBNZ,By Anna Breman,2026-02-20,DOC_EA93CF29017C,0.0,0.0,0.0,,,stable
RBNZ,By Christian Hawkesby,2022-09-21,DOC_2EEFF8F736D1,0.0,0.0,0.0,,,stable
RBNZ,By Christian Hawkesby,2025-10-29,DOC_59B3557E71AB,0.0,0.0,0.0,,,stable
RBNZ,By Dr Anna Breman,2026-03-24,DOC_3124EF79B088,2.2189475010096187,2.2189475010096187,2.2189475010096187,,,stable
RBNZ,By Geoff Bascand,2021-12-07,DOC_3E26C4C55D12,0.0,0.0,0.0,,,stable
RBNZ,By Paul Conway,2025-10-15,DOC_A207EAFF10C8,0.0,0.0,0.0,,,stable
RBNZ,By Paul Conway,2026-03-25,DOC_F82C93912440,0.0,0.0,0.0,,,stable
RBNZ,By Vanessa Rayner,2021-06-02,DOC_C5F4B822DCE4,0.0,0.0,0.0,,,stable
RBNZ,Chief Economist Paul Conway,2025-04-14,DOC_977657162CB9,0.0,0.0,0.0,,,stable
RBNZ,Committee.,2022-11-23,DOC_BC4D4FB6C90B,0.0,0.0,0.0,,,stable
RBNZ,Delivered by Christian Hawkesby,2022-04-27,DOC_B557769FE799,0.0,0.0,0.0,,,stable
RBNZ,Director of Enforcement and Resolution Kerry,2023-06-12,DOC_446126ED3118,0.0,0.0,0.0,,,stable
RBNZ,Governor Christian Hawkesby,2025-09-10,DOC_D1A9FA21203C,0.0,0.0,0.0,,,stable
RBNZ,NZ Economics Forum,2022-02-25,DOC_9310F46C3EE0,0.0,0.0,0.0,,,stable
RBNZ,Personnel,2023-06-30,DOC_AA49067FE3CF,0.0,0.0,0.0,,,stable
RBNZ,The Big Picture,2022-06-29,DOC_B95ECFF8EF63,0.0,0.0,0.0,,,stable
RBNZ,and why climate matters to RBNZ,2022-09-18,DOC_92B0717AA513,0.0,0.0,0.0,,,stable
RBNZ,emerging currents,2025-12-18,DOC_974D6547C2CD,0.0,0.0,0.0,,,stable
RBNZ,sharing our expectations around the,2022-09-06,DOC_7BC605AAF429,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2023-06-01,DOC_1CC721B7E4AC,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2023-06-01,DOC_6A9B26B95EC9,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2023-06-01,DOC_6D91A7DC2B62,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2023-06-01,DOC_C80462297AB0,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2023-06-01,DOC_E621954CFE93,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2024-06-01,DOC_3C4A2BD52F24,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2024-06-01,DOC_476B2500E387,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2024-06-01,DOC_916EA7F30035,0.0,0.0,0.0,,,stable
RIKSBANK,Aino Bunge,2024-06-01,DOC_C43CEFD94C92,1.4,0.35,0.35,,,stable
RIKSBANK,Aino Bunge,2024-06-01,DOC_D2733DB25846,0.0,0.27999999999999997,0.27999999999999997,,,stable
RIKSBANK,Aino Bunge,2024-06-01,DOC_FFD7E93BB91B,0.0,0.2333333333333333,0.2333333333333333,,,stable
RIKSBANK,Aino Bunge visits Helsingborg,2024-06-01,DOC_96075C14F051,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2021-06-01,DOC_8D0892428A92,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2022-06-01,DOC_75F6863D9EAD,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2022-06-01,DOC_92FBF97D69AC,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2022-06-01,DOC_D76AC15564FE,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2022-06-01,DOC_E27A4F4098BD,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2023-06-01,DOC_1F2985757EA9,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2023-06-01,DOC_62189E9941B1,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2023-06-01,DOC_74973222B167,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2023-06-01,DOC_85A4BDBCAE60,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2023-06-01,DOC_A25E72953FE4,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2024-06-01,DOC_17EB62804AE8,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2024-06-01,DOC_1F086C690ADD,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2024-06-01,DOC_7B23D43F6817,0.0,0.0,0.0,,,stable
RIKSBANK,Anna Breman,2024-06-01,DOC_91CA4A534725,0.0,0.0,0.0,,,stable
