bank,date_au,daily_avg_score,rolling_30d_score,rolling_90d_score,rolling_180d_score,momentum_30_vs_90,momentum_classification,documents_count
BOC,2026-05-26,0.0,0.0,0.0,0.0,0.0,stable,1
BOC,2026-06-01,0.0,0.0,0.0,0.0,0.0,stable,1
BOE,2021-06-01,-0.018354109628556492,-0.018354109628556492,-0.018354109628556492,-0.018354109628556492,0.0,stable,73
BOE,2022-06-01,0.34731406150025185,0.34731406150025185,0.34731406150025185,0.34731406150025185,0.0,stable,72
BOE,2023-06-01,0.7544253572046705,0.7544253572046705,0.7544253572046705,0.7544253572046705,0.0,stable,70
BOE,2024-06-01,0.20985176118179513,0.20985176118179513,0.20985176118179513,0.20985176118179513,0.0,stable,60
BOE,2025-06-01,-0.04073086354821835,-0.04073086354821835,-0.04073086354821835,-0.04073086354821835,0.0,stable,83
BOE,2026-06-01,0.18819306452543427,0.18819306452543427,0.18819306452543427,0.18819306452543427,0.0,stable,31
BOJ,2021-02-03,1.4,1.4,1.4,1.4,0.0,stable,1
BOJ,2021-02-15,-0.8189475010096188,0.29052624949519057,0.29052624949519057,0.29052624949519057,0.0,stable,1
BOJ,2021-03-08,0.0,-0.4094737505048094,0.19368416633012706,0.19368416633012706,-0.6031579168349365,stable,1
BOJ,2021-03-12,0.4000000000000003,-0.13964916700320615,0.24526312474759537,0.24526312474759537,-0.38491229175080155,stable,1
BOJ,2021-03-16,0.0,-0.10473687525240462,0.1962104997980763,0.1962104997980763,-0.3009473750504809,stable,1
BOJ,2021-03-25,0.0,0.10000000000000007,0.16350874983173025,0.16350874983173025,-0.06350874983173017,stable,1
BOJ,2021-03-26,0.0,0.08000000000000006,0.14015035699862594,0.14015035699862594,-0.06015035699862588,stable,1
BOJ,2021-03-30,0.0,0.06666666666666672,0.12263156237379769,0.12263156237379769,-0.055964895707130966,stable,1
BOJ,2021-05-19,1.4,1.4,0.2571428571428572,0.26456138877670904,1.1428571428571428,hawkish acceleration,1
BOJ,2021-05-24,0.0,0.7,0.22500000000000003,0.23810524989903814,0.4749999999999999,stable,1
BOJ,2021-05-26,1.4,0.9333333333333332,0.35555555555555557,0.3437320453627619,0.5777777777777777,stable,1
BOJ,2021-06-02,0.0,0.7,0.32,0.31508770824919846,0.37999999999999995,stable,1
BOJ,2021-06-08,0.0,0.5599999999999999,0.32,0.29085019223002934,0.23999999999999994,stable,1
BOJ,2021-07-21,0.0,0.0,0.4666666666666666,0.27007517849931295,-0.4666666666666666,stable,1
BOJ,2021-07-27,0.0,0.0,0.39999999999999997,0.25207016659935877,-0.39999999999999997,stable,1
BOJ,2021-08-31,0.0,0.0,0.0,0.2285714285714286,0.0,stable,1
BOJ,2021-09-01,1.6,0.8,0.32,0.32000000000000006,0.48000000000000004,stable,1
BOJ,2021-09-09,-3.618947501009618,-0.6729825003365394,-0.4037895002019236,0.0557894642135987,-0.2691930001346158,stable,1
