bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction,alert_strength
ECB,"Christine Lagarde, Luis de Guindos",2022-09-08,DOC_A500CB6BAB5D,-4.650699332842307,-3.050699332842307,-4.650699332842307,-1.450699332842307,-3.2,dovish shift,strong
ECB,"Christine Lagarde, Luis de Guindos",2022-10-27,DOC_2BFA85E21A9A,-1.3999999999999997,-3.025349666421153,-1.3999999999999997,-4.650699332842307,3.2506993328423075,hawkish shift,strong
ECB,"Christine Lagarde, Luis de Guindos",2022-12-15,DOC_CDE5355AD170,-4.199999999999999,-2.7999999999999994,-4.199999999999999,-1.3999999999999997,-2.8,dovish shift,strong
ECB,Speech by Christine Lagarde,2023-03-20,DOC_037140BE58B4,-1.4,-0.7,-1.4,0.0,-1.4,dovish shift,mild
ECB,Speech by Christine Lagarde,2023-03-22,DOC_699851DD7B10,-4.199999999999999,-1.8666666666666665,-2.8,0.0,-2.8,dovish shift,strong
ECB,Speech by Christine Lagarde,2023-04-17,DOC_BE9D3959451A,0.0,-1.4,-1.8666666666666665,0.0,-1.8666666666666665,dovish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2023-05-04,DOC_148B8D3D6765,-0.650699332842307,-2.4506993328423063,-0.650699332842307,-4.250699332842307,3.6,hawkish shift,extreme
ECB,Speech by Christine Lagarde,2023-06-01,DOC_50FB3CEB0E85,2.4,-0.7999999999999999,2.4,-1.8666666666666665,4.266666666666667,hawkish shift,extreme
ECB,Speech by Christine Lagarde,2023-06-05,DOC_7A1C08A5872A,0.8000000000000003,-0.4799999999999998,1.6,-1.8666666666666665,3.466666666666667,hawkish shift,strong
ECB,Speech by Christine Lagarde,2023-06-23,DOC_9FF8CABA00ED,0.0,0.7999999999999999,1.0666666666666669,0.0,1.0666666666666669,hawkish shift,mild
ECB,"Luis de Guindos, Vice",2023-07-07,DOC_87CEFA316A5E,-2.2189475010096187,-0.3396491670032062,-1.1094737505048091,1.2000000000000002,-2.309473750504809,dovish shift,strong
ECB,Speech by Christine Lagarde,2023-09-25,DOC_1D96B66A54E9,-1.4,-1.4,-1.4,-3.0,1.6,hawkish shift,mild
ECB,Speech by Christine Lagarde,2023-11-17,DOC_8D67C083DAB0,0.0,-0.4666666666666666,0.0,-1.4,1.4,hawkish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2024-01-25,DOC_89CD608B6AA7,-3.8,-2.809473750504809,-3.8,-1.818947501009618,-1.9810524989903815,dovish shift,mild
ECB,Speech by Christine Lagarde,2024-02-26,DOC_1ADFF390E968,-1.4,-0.4666666666666666,-1.4,0.0,-1.4,dovish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2024-03-07,DOC_F20B2AFCD75A,-0.418947501009618,-2.012631667339745,-0.418947501009618,-2.809473750504809,2.390526249495191,hawkish shift,strong
ECB,Speech by Christine Lagarde,2024-04-22,DOC_1E641F96163E,0.0,-0.7,0.0,-1.4,1.4,hawkish shift,mild
ECB,Speech by Christine Lagarde,2024-06-01,DOC_E519ED995791,-1.4,-0.7,-1.4,0.0,-1.4,dovish shift,mild
ECB,"Luis de Guindos, Vice",2024-06-18,DOC_20D8290EDBD3,0.0,-0.9333333333333332,0.0,-1.4,1.4,hawkish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2024-07-18,DOC_6299A05835D7,-0.9999999999999998,-1.6999999999999995,-0.9999999999999998,-2.3999999999999995,1.3999999999999997,hawkish shift,mild
ECB,Speech by Christine Lagarde,2024-11-05,DOC_DF3F688AE07B,0.0,-0.4666666666666666,0.0,-1.4,1.4,hawkish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2025-01-30,DOC_C4E3EE6CDEFF,-0.4189475010096186,-1.718947501009619,-0.4189475010096186,-3.0189475010096185,2.6,hawkish shift,strong
ECB,Speech by Philip R. Lane,2025-02-05,DOC_F95EA691D39A,1.4529325012980814,0.9264662506490408,1.4529325012980814,0.4000000000000001,1.0529325012980812,hawkish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2025-03-06,DOC_7E18226B03A7,-0.3682481681673111,-1.268714390062183,-0.3682481681673111,-1.718947501009619,1.3506993328423076,hawkish shift,mild
ECB,Christine Lagarde,2025-03-12,DOC_B1B8D5D1D788,1.4,-0.4094737505048094,1.4,-2.2189475010096187,3.6189475010096186,hawkish shift,extreme
ECB,Speech by Christine Lagarde,2025-03-20,DOC_EFFCBCE3D61E,0.0,-0.7,0.0,-1.4,1.4,hawkish shift,mild
ECB,"Luis de Guindos, Vice",2025-04-03,DOC_F76D045B5B88,0.0,-0.7,0.0,-1.4,1.4,hawkish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2025-04-17,DOC_F9AD1FCA6B84,-6.869646833851926,-2.552280834342952,-6.869646833851926,-0.3935978345884648,-6.476048999263461,dovish shift,extreme
ECB,Speech by Isabel Schnabel,2025-05-10,DOC_EEDB09669706,-1.4,-0.7,-1.4,0.0,-1.4,dovish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2025-06-05,DOC_0B3B358636B2,-2.2189475010096187,-4.544297167430772,-2.2189475010096187,-6.869646833851926,4.650699332842307,hawkish shift,extreme
ECB,"Christine Lagarde, Luis de Guindos",2025-09-11,DOC_604D8386FAC8,-5.330296890880645,-4.065148445440323,-5.330296890880645,-2.8,-2.5302968908806456,dovish shift,strong
ECB,Frank Elderson,2025-10-01,DOC_25E228383FA6,2.0,1.0,2.0,0.0,2.0,hawkish shift,strong
ECB,"Christine Lagarde, Luis de Guindos",2025-10-30,DOC_04361559403B,-6.656842503028857,-5.993569696954751,-6.656842503028857,-5.330296890880645,-1.3265456121482115,dovish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2025-12-18,DOC_E8671B45A3C3,-2.8,-4.728421251514428,-2.8,-6.656842503028857,3.856842503028857,hawkish shift,extreme
ECB,"Luis de Guindos, Vice",2026-01-14,DOC_85457190A714,-1.4,-0.7,-1.4,0.0,-1.4,dovish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2026-02-05,DOC_95A6AF56EA39,-4.199999999999999,-3.5,-4.199999999999999,-2.8,-1.3999999999999997,dovish shift,mild
ECB,"Christine Lagarde, Luis de Guindos",2026-03-19,DOC_EB0559A1465E,-6.218947501009618,-5.2094737505048085,-6.218947501009618,-4.199999999999999,-2.0189475010096185,dovish shift,strong
ECB,"Christine Lagarde, Luis de Guindos",2026-04-30,DOC_AB0925C088A1,-1.584962500721156,-4.001303333910258,-1.584962500721156,-5.2094737505048085,3.624511249783653,hawkish shift,extreme
FED,Lael Brainard,2021-03-01,DOC_CBB9DCB3F0CC,-1.4,0.0,-0.4666666666666666,0.7,-1.1666666666666663,dovish shift,mild
FED,Jerome H. Powell,2021-03-18,DOC_109E9C765C04,0.0,0.7,0.0,1.4,-1.4,dovish shift,mild
FED,Christopher J. Waller,2021-12-17,DOC_5104C3D598A1,1.8,0.6,1.8,0.0,1.8,hawkish shift,mild
FED,Christopher J. Waller,2022-02-18,DOC_6549A97BA416,0.0,0.9,0.0,1.8,-1.8,dovish shift,mild
FED,Christopher J. Waller,2022-02-24,DOC_7326BB90F476,-2.2189475010096187,-0.1396491670032062,-1.1094737505048091,1.8,-2.9094737505048096,dovish shift,strong
FED,Christopher J. Waller,2022-03-24,DOC_F8617E1600FA,0.0,-0.7396491670032063,-1.1094737505048091,0.0,-1.1094737505048091,dovish shift,mild
FED,Lael Brainard,2022-09-07,DOC_C0AC9AAFD847,-2.8,-0.7,-1.4,0.0,-1.4,dovish shift,mild
FED,Lael Brainard,2022-10-10,DOC_180610C75707,-0.1999999999999997,-0.3592179996538449,0.5019550008653877,-0.9333333333333332,1.435288334198721,hawkish shift,mild
FED,Michelle W. Bowman,2022-10-12,DOC_67A446CDD875,3.4000000000000004,0.8500000000000001,1.7000000000000002,0.0,1.7000000000000002,hawkish shift,mild
FED,Jerome H. Powell,2022-11-30,DOC_C7D8EB840867,2.2,1.1,2.2,0.0,2.2,hawkish shift,strong
FED,Lisa D. Cook,2023-01-06,DOC_C6C1E8E165B3,1.4,0.7,1.4,0.0,1.4,hawkish shift,mild
FED,Michelle W. Bowman,2023-01-10,DOC_FD466DFAF84E,2.0,2.0,2.0,3.4000000000000004,-1.4000000000000004,dovish shift,mild
FED,Jerome H. Powell,2023-01-10,DOC_A38D58CFFCB9,0.0,1.1,0.0,2.2,-2.2,dovish shift,strong
FED,Lael Brainard,2023-01-19,DOC_17808E7F5D11,-1.2,-0.6,-1.2,0.0,-1.2,dovish shift,mild
