meeting_id,override_decision,override_rate_change_bps,override_policy_rate_after,override_confidence,override_notes,approved
NORGES_BANK_2022_06_D,hold,0.0,,0.5,,false
NORGES_BANK_2025_06_D,hold,0.0,,0.5,,false
RBA_2021_02,hold,0.0,,0.75,,false
RBA_2021_03,hold,0.0,,0.75,,false
RBA_2021_04,hold,0.0,,0.75,,false
RBA_2021_05,hold,0.0,,0.75,,false
RBA_2021_06,hold,0.0,,0.75,,false
RBA_2021_07,hold,0.0,,0.5,,false
RBA_2021_08,hold,0.0,,0.5,,false
RBA_2021_09,hold,0.0,,0.5,,false
RBA_2021_10,hold,0.0,,0.5,,false
RBA_2021_11,hold,0.0,,0.5,,false
RBA_2021_12,hold,0.0,,0.5,,false
RBA_2022_02,hold,0.0,,0.75,,false
RBA_2022_03,hold,0.0,,0.75,,false
RBA_2022_04,hold,0.0,,0.75,,false
RBA_2023_04,hold,0.0,,0.5,,false
RBA_2023_07,hold,0.0,,0.5,,false
RBA_2023_08,hold,0.0,,0.5,,false
RBA_2023_09,hold,0.0,,0.5,,false
RBA_2023_10,hold,0.0,,0.5,,false
RBA_2024_02,hold,0.0,,0.5,,false
RBA_2024_03,hold,0.0,,0.5,,false
RBA_2024_05,hold,0.0,,0.5,,false
RBA_2024_06,hold,0.0,,0.5,,false
RBA_2024_08,hold,0.0,,0.5,,false
RBA_2024_09,hold,0.0,,0.75,,false
RBA_2024_11,hold,0.0,,0.75,,false
RBA_2024_12,hold,0.0,,0.5,,false
RBA_2025_04,hold,0.0,,0.5,,false
RBA_2025_07,hold,0.0,,0.5,,false
RBA_2025_09,hold,0.0,,0.75,,false
RBA_2025_11,hold,0.0,,0.75,,false
RBA_2025_12,hold,0.0,,0.75,,false
RBNZ_2021_02,hold,0.0,2.0,0.9,,false
RBNZ_2021_05,hold,0.0,0.25,0.9,,false
RBNZ_2021_08,hold,0.0,,0.75,,false
RBNZ_2022_05,hold,0.0,,0.5,,false
RBNZ_2022_08,hold,0.0,,0.75,,false
RBNZ_2024_11,cut,-50.0,,0.85,,false
RBNZ_2025_02,cut,-50.0,,0.85,,false
RBNZ_2025_11,hold,0.0,,0.75,,false
RIKSBANK_2021_06_A,hold,0.0,,0.75,,false
RIKSBANK_2021_06_B,hold,0.0,,0.75,,false
RIKSBANK_2021_06_C,hold,0.0,,0.75,,false
RIKSBANK_2021_06_D,hold,0.0,,0.5,,false
RIKSBANK_2021_06_E,hold,0.0,,0.75,,false
RIKSBANK_2022_06_B,hold,0.0,,0.75,,false
RIKSBANK_2023_06_A,hike,0.0,,0.75,,false
RIKSBANK_2023_06_B,hike,0.0,,0.75,,false
RIKSBANK_2023_06_C,hike,0.0,,0.75,,false
RIKSBANK_2023_06_D,hold,0.0,,0.5,,false
RIKSBANK_2023_06_E,hold,0.0,,0.5,,false
RIKSBANK_2024_06_B,hold,0.0,,0.5,,false
RIKSBANK_2024_06_C,hold,0.0,,0.75,,false
RIKSBANK_2024_06_D,hold,0.0,,0.5,,false
RIKSBANK_2024_06_E,hold,0.0,,0.5,,false
RIKSBANK_2024_06_G,hold,0.0,,0.5,,false
RIKSBANK_2024_06_H,hold,0.0,,0.5,,false
RIKSBANK_2025_06_H,hold,0.0,,0.5,,false
BOC_2024_06_B,cut,-25.0,,0.8,,false
BOE_2022_06_A,hike,75.0,,0.85,,false
BOE_2022_06_C,hike,25.0,1.0,0.95,,false
BOE_2022_06_D,hike,75.0,,0.85,,false
ECB_2023_02,hike,50.0,,0.85,,false
ECB_2023_03,hike,50.0,,0.75,,false
ECB_2023_07,hike,25.0,,0.75,,false
NORGES_BANK_2023_06_D,hike,50.0,,0.85,,false
RBA_2022_05,hike,25.0,,0.85,,false
RBA_2022_06,hike,50.0,,0.85,,false
RBA_2022_07,hike,50.0,,0.85,,false
RBA_2022_08,hike,50.0,,0.85,,false
RBA_2022_09,hike,50.0,,0.85,,false
RBA_2022_10,hike,25.0,,0.85,,false
RBA_2022_11,hike,25.0,,0.85,,false
RBA_2022_12,hike,25.0,,0.85,,false
RBA_2023_02,hike,25.0,,0.85,,false
RBA_2023_03,hike,25.0,,0.85,,false
RBA_2023_05,hike,25.0,,0.85,,false
RBA_2023_06,hike,25.0,,0.85,,false
RBA_2023_11,hike,25.0,,0.85,,false
RBA_2023_12,hike,25.0,,0.85,,false
RBA_2025_02,hike,-25.0,,0.75,,false
RBA_2025_05,cut,-25.0,,0.85,,false
RBA_2025_08,cut,-25.0,4.3,0.95,,false
RBA_2026_02,hike,25.0,,0.85,,false
RBA_2026_03,hike,25.0,,0.85,,false
RBA_2026_05,hike,25.0,,0.85,,false
RBNZ_2021_11,hike,100.0,,0.85,,false
RBNZ_2022_02,hold,0.0,,0.75,,false
RBNZ_2022_11,hike,85.0,,0.85,,false
RBNZ_2023_02,hike,85.0,,0.85,,false
RBNZ_2023_05,hike,15.0,,0.85,,false
RBNZ_2024_08,cut,-25.0,,0.85,,false
RBNZ_2025_05,cut,-25.0,,0.85,,false
RBNZ_2025_08,cut,-25.0,,0.85,,false
RBNZ_2026_02,hike,25.0,2.25,0.95,,false
RBNZ_2026_05,hold,0.0,,0.75,,false
BOC_2025_04,hold,0.0,3.0,0.9,,false
BOC_2025_07,hold,0.0,3.0,0.9,,false
BOE_2021_06_A,hold,0.0,0.1,0.9,,false
BOE_2021_06_C,hold,0.0,0.1,0.9,,false
BOE_2021_06_D,hold,0.0,0.1,0.9,,false
BOE_2024_06_B,hold,0.0,5.25,0.9,,false
BOE_2024_06_C,hold,0.0,5.25,0.9,,false
BOE_2025_06_A,hold,0.0,4.0,0.9,,false
BOE_2025_06_C,hold,0.0,4.5,0.9,,false
BOE_2025_06_D,hold,0.0,4.0,0.9,,false
BOE_2026_06_A,hold,0.0,3.75,0.9,,false
FED_2021_01,hold,0.0,0.125,0.9,,false
FED_2021_03,hold,0.0,0.125,0.9,,false
FED_2021_04,hold,0.0,0.125,0.9,,false
FED_2021_06,hold,0.0,0.125,0.9,,false
FED_2021_07,hold,0.0,0.125,0.9,,false
FED_2021_09,hold,0.0,0.125,0.9,,false
FED_2021_12,cut,0.0,0.125,0.75,,false
FED_2022_01,hold,0.0,0.125,0.9,,false
FED_2023_06,hold,0.0,5.125,0.9,,false
FED_2023_09,hold,0.0,5.375,0.9,,false
FED_2023_11,hold,0.0,5.375,0.9,,false
FED_2023_12,hold,0.0,5.375,0.9,,false
FED_2024_01,hold,0.0,5.375,0.9,,false
FED_2024_03,hold,0.0,5.375,0.9,,false
FED_2024_05,hold,0.0,5.375,0.9,,false
FED_2024_06,hold,0.0,5.375,0.9,,false
FED_2024_07,hold,0.0,5.375,0.9,,false
FED_2024_12,cut,0.0,4.625,0.75,,false
FED_2025_01,hold,0.0,4.375,0.9,,false
FED_2025_03,hold,0.0,4.375,0.9,,false
FED_2025_05,hold,0.0,4.375,0.9,,false
FED_2025_06,hold,0.0,4.375,0.9,,false
FED_2025_07,hold,0.0,4.375,0.9,,false
FED_2026_01,hold,0.0,3.625,0.9,,false
NORGES_BANK_2024_06_D,hold,0.0,4.5,0.9,,false
RBNZ_2024_02,hold,0.0,5.5,0.9,,false
SNB_2025_09,hold,0.0,0.0,0.9,,false
